,SDATE,HOLIDAY,CELEBRATION,STOREID,PRODUCTID,LOW_TEMP,HIGH_TEMP,SKY,ENTRY,EXIT,ONSALE,COVID19,TARGET
127,2019/05/08,N,0,12,141691,21℃,24℃,小雨~阴,83348,77621,Y,0,13.64
128,2019/05/09,N,0,12,141691,22℃,23℃,小雨,84186,78963,Y,0,17.125
129,2019/05/10,N,0,12,141691,22℃,24℃,小雨,98636,90574,Y,0,26.457
130,2019/05/11,Y,週六,12,141691,22℃,25℃,小雨,91028,84173,Y,0,31.91
131,2019/05/12,Y,週日,12,141691,23℃,27℃,小雨,95283,81899,Y,0,21.936
132,2019/05/13,N,0,12,141691,23℃,28℃,多云,83511,68302,Y,0,21.067
133,2019/05/14,N,0,12,141691,23℃,27℃,多云~阴,86213,73113,Y,0,21.888
134,2019/05/15,N,0,12,141691,23℃,27℃,多云,101247,84715,Y,0,20.872
135,2019/05/16,N,0,12,141691,24℃,28℃,小雨,81297,78642,Y,0,13.547
136,2019/05/17,N,0,12,141691,24℃,28℃,小雨,75391,89193,Y,0,29.496
137,2019/05/18,Y,週六,12,141691,24℃,28℃,小雨~阴,68382,90146,Y,0,45.289
138,2019/05/19,Y,週日,12,141691,24℃,28℃,小雨~阴,76334,89486,Y,0,40.083
139,2019/05/20,N,0,12,141691,21℃,26℃,大雨~小雨,61855,86339,Y,0,16.854
140,2019/05/21,N,0,12,141691,20℃,23℃,多云,61636,83654,Y,0,17.916
141,2019/05/22,N,0,12,141691,21℃,26℃,多云~小雨,61673,77578,Y,0,17.165
142,2019/05/23,N,0,12,141691,22℃,25℃,小雨~多云,65951,75570,Y,0,20.865
143,2019/05/24,N,0,12,141691,23℃,26℃,多云,79781,81249,Y,0,15.899
144,2019/05/25,Y,週六,12,141691,23℃,26℃,阴,81103,78373,Y,0,24.329
145,2019/05/26,Y,週日,12,141691,23℃,27℃,阴,84666,83689,Y,0,32.025
146,2019/05/27,N,0,12,141691,23℃,27℃,小雨,71871,85330,N,0,20.209
147,2019/05/28,N,0,12,141691,21℃,25℃,中雨~小雨,68824,78314,Y,0,21.053
148,2019/05/29,N,0,12,141691,21℃,24℃,阴~多云,77964,82732,Y,0,22.086
149,2019/05/30,N,0,12,141691,23℃,27℃,多云~阴,79665,76959,Y,0,19.209
150,2019/05/31,N,0,12,141691,23℃,27℃,小雨,85231,90171,Y,0,18.401
151,2019/06/01,Y,週六,12,141691,24℃,27℃,中雨~小雨,86492,80824,N,0,37.635
